ADM_SECT_C,SGG_NM,SGG_OID,COL_ADM_SE,gu_lat,gu_lon
"26110",부산광역시 중구,"1009","26110",35.105428,129.032244
"26140",부산광역시 서구,"369","26140",35.102756,129.014967
"26170",부산광역시 동구,"690","26170",35.128321,129.044884
"26200",부산광역시 영도구,"35","26200",35.078764,129.064950
"26230",부산광역시 부산진구,"689","26230",35.165259,129.043064
"26260",부산광역시 동래구,"49","26260",35.206208,129.079222
"26290",부산광역시 남구,,"26290",35.125320,129.094368
"26320",부산광역시 북구,"49","26320",35.229263,129.023471
"26350",부산광역시 해운대구,"1329","26350",35.193726,129.153691
"26380",부산광역시 사하구,"1009","26380",35.088136,128.973769
"26410",부산광역시 금정구,"369","26410",35.258889,129.091550
"26440",부산광역시 강서구,"51","26440",35.137044,128.891047
"26470",부산광역시 연제구,"369","26470",35.182403,129.082992
"26500",부산광역시 수영구,"369","26500",35.161178,129.111587
"26530",부산광역시 사상구,"49","26530",35.158034,128.986596
"26710",부산광역시 기장군,"1329","26710",35.297918,129.201049
